name,team,hand,game,win,loss,save,hp,out,er
名前,チーム,利き腕,試合,勝,敗,セーブ,HP,アウト数,自責点
松井　裕樹,e,1,68,2,8,38,14,209,15
山口　俊,g,0,26,15,4,0,0,510,55
守屋　功輝,t,0,57,2,2,0,9,162,18
