松井　裕樹, (楽), 左投げ, 68試合, 2勝, 8敗, 38セーブ, 14HP, 防御率1.94, 勝率0.200
秋山　翔吾, (西), 左打ち, 143試合, 打率0.303, 678打席, 179安打, 20本塁打, 62打点, 108三振, 長打率0.471
金子　侑司, (西), 両打ち, 133試合, 打率0.251, 524打席, 116安打, 3本塁打, 33打点, 81三振, 長打率0.292
山口　俊, (巨), 右投げ, 26試合, 15勝, 4敗, 0セーブ, 0HP, 防御率2.91, 勝率0.789
守屋　功輝, (神), 右投げ, 57試合, 2勝, 2敗, 0セーブ, 9HP, 防御率3.00, 勝率0.000
小林　誠司, (巨), 右打ち, 92試合, 打率0.244, 236打席, 52安打, 2本塁打, 19打点, 48三振, 長打率0.300
