name,team,hand,game,pa,atBat,hit,twoBaseHit,threeBaseHit,homerun,rbi,strikeOut
名前,チーム,右0/左1/両2,試合数,打席数,打数,安打,２塁打,３塁打,本塁打,打点,三振
秋山　翔吾,l,1,143,678,590,179,31,4,20,62,108
金子　侑司,l,2,133,524,463,116,8,1,3,33,81
小林　誠司,g,0,92,236,213,52,6,0,2,19,48
