有原　航平, (日), 右投げ, 22試合, 11勝, 9敗, 0セーブ, 0HP, 防御率2.94, 勝率0.550
近藤　大亮, (オ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
レイ, (楽), 右投げ, 4試合, 0勝, 2敗, 0セーブ, 0HP, 防御率7.27, 勝率0.000
リズ, (楽), 右投げ, 5試合, 0勝, 3敗, 0セーブ, 1HP, 防御率6.94, 勝率0.000
赤間　謙, (オ), 右投げ, 24試合, 0勝, 1敗, 0セーブ, 1HP, 防御率3.09, 勝率0.000
青山　大紀, (オ), 右投げ, 1試合, 0勝, 1敗, 0セーブ, 0HP, 防御率6.75, 勝率0.000
横山　貴明, (楽), 右投げ, 19試合, 0勝, 0敗, 0セーブ, 2HP, 防御率6.38, 勝率0.000
宮川　将, (楽), 右投げ, 9試合, 0勝, 0敗, 0セーブ, 1HP, 防御率0.93, 勝率0.000
美馬　学, (楽), 右投げ, 26試合, 9勝, 9敗, 0セーブ, 0HP, 防御率4.30, 勝率0.000
山内　壮馬, (楽), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
武藤　好貴, (楽), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
井口　和朋, (日), 右投げ, 37試合, 0勝, 1敗, 0セーブ, 4HP, 防御率3.86, 勝率0.000
岸田　護, (オ), 右投げ, 16試合, 0勝, 0敗, 0セーブ, 6HP, 防御率7.90, 勝率0.000
近藤　一樹, (オ), 右投げ, 5試合, 2勝, 2敗, 0セーブ, 0HP, 防御率8.24, 勝率0.000
小松　聖, (オ), 右投げ, 4試合, 0勝, 1敗, 0セーブ, 0HP, 防御率10.80, 勝率0.000
金子　千尋, (オ), 右投げ, 24試合, 7勝, 9敗, 0セーブ, 0HP, 防御率3.83, 勝率0.438
大山　暁史, (オ), 左投げ, 3試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.08, 勝率0.000
大田　阿斗里, (オ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
角屋　龍太, (オ), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率11.57, 勝率0.000
海田　智行, (オ), 左投げ, 50試合, 1勝, 3敗, 0セーブ, 16HP, 防御率2.78, 勝率0.250
瀬川　隼郎, (日), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
松本　裕樹, (ソ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
柳瀬　明宏, (ソ), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
森福　允彦, (ソ), 左投げ, 50試合, 2勝, 1敗, 0セーブ, 18HP, 防御率2.00, 勝率0.667
松坂　大輔, (ソ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率18.00, 勝率0.000
バリオス, (ソ), 右投げ, 11試合, 0勝, 2敗, 0セーブ, 3HP, 防御率7.82, 勝率0.000
中田　賢一, (ソ), 右投げ, 17試合, 7勝, 3敗, 0セーブ, 0HP, 防御率3.01, 勝率0.700
東浜　巨, (ソ), 右投げ, 23試合, 9勝, 6敗, 0セーブ, 0HP, 防御率3.00, 勝率0.600
バンデンハーク, (ソ), 右投げ, 13試合, 7勝, 3敗, 0セーブ, 0HP, 防御率3.84, 勝率0.700
