ボグセビック, (オ), 左打ち, 60試合, 打率0.187, 193打席, 32安打, 3本塁打, 18打点, 48三振, 長打率0.322
栗山　巧, (西), 左打ち, 135試合, 打率0.279, 569打席, 133安打, 3本塁打, 41打点, 87三振, 長打率0.369
坂田　遼, (西), 左打ち, 45試合, 打率0.245, 161打席, 37安打, 3本塁打, 26打点, 22三振, 長打率0.371
ブランコ, (オ), 右打ち, 27試合, 打率0.218, 94打席, 17安打, 3本塁打, 13打点, 26三振, 長打率0.359
_谷　裕亮, (ソ), 左打ち, 37試合, 打率0.247, 103打席, 20安打, 2本塁打, 16打点, 12三振, 長打率0.321
クラーク, (オ), 左打ち, 11試合, 打率0.172, 34打席, 5安打, 2本塁打, 4打点, 11三振, 長打率0.414
鶴岡　慎也, (ソ), 右打ち, 103試合, 打率0.251, 263打席, 58安打, 2本塁打, 26打点, 26三振, 長打率0.346
内田　靖人, (楽), 右打ち, 17試合, 打率0.204, 58打席, 11安打, 2本塁打, 7打点, 27三振, 長打率0.389
近藤　健介, (日), 左打ち, 80試合, 打率0.265, 291打席, 68安打, 2本塁打, 27打点, 45三振, 長打率0.323
田村　龍弘, (ロ), 右打ち, 130試合, 打率0.256, 430打席, 95安打, 2本塁打, 38打点, 91三振, 長打率0.332
井上　晴哉, (ロ), 右打ち, 35試合, 打率0.232, 107打席, 23安打, 2本塁打, 16打点, 19三振, 長打率0.343
西野　真弘, (オ), 左打ち, 143試合, 打率0.264, 610打席, 142安打, 2本塁打, 33打点, 55三振, 長打率0.331
嶋　基宏, (楽), 右打ち, 80試合, 打率0.271, 256打席, 54安打, 2本塁打, 17打点, 43三振, 長打率0.357
外崎　修汰, (西), 右打ち, 37試合, 打率0.176, 57打席, 9安打, 2本塁打, 5打点, 11三振, 長打率0.294
中川　大志, (楽), 右打ち, 22試合, 打率0.203, 80打席, 15安打, 2本塁打, 18打点, 21三振, 長打率0.311
岡　大海, (日), 右打ち, 41試合, 打率0.374, 154打席, 49安打, 2本塁打, 12打点, 27三振, 長打率0.473
